MOH_PRO_ID,NAME,_ADDRESS,COMMUNITY,POSTALCODE,OGF_ID,LON,LAT,LTC_Telephone,LTC_Fax,LTC_Website,_LHIN,_HCRC,_ADMINISTRATOR,_LICENSEE,_MANAGEMENT_FIRM,SERV_TYPE,SERV_DET,_LICENSED_BEDS,_SHORT_TERM_STAY_BEDS_APPROVAL,_RESIDENTS_COUNCIL,_FAMILY_COUNCIL,_ACCREDITATION,_FLSA,ADDITIONAL_INFORMATION
2748,Caressant Care Arthur Nursing Home,215 Eliza Street P.O. Box 700,Arthur,N0G 1A0,127908207,-80.53012396,43.83174096,(519) 848-3795,(519) 848-2273,http://caressantcare.com/,Waterloo Wellington,Waterloo Wellington,Ms Lindsay Ross,Caressant-care Nursing And Retirement Homes Limited,Not provided,Long-Term Care Home,For-Profit,80,No,Not provided,Yes,Yes,No,Not provided
1160,Caressant Care Bourget,2279 Laval Street P.O. Box 99,Clarence-Rockland,K0A 1E0,127908208,-75.15507436,45.43608078,(613) 487-2331,(613) 487-3464,http://www.caressantcare.com,Champlain,Champlain,Ms. Pamela Richmond,Caressant-care Nursing And Retirement Homes Limited,Not provided,Long-Term Care Home,For-Profit,60,No,Not provided,Yes,Yes,No,Not provided
2603,Caressant Care Fergus Nursing Home,450 Queen Street East,Fergus,N1M 2Y7,127908211,-80.369855,43.70903805,(519) 843-2400,(519) 843-2200,Not provided,Waterloo Wellington,Waterloo Wellington,Ms Penny Silva,Caressant-care Nursing And Retirement Homes Limited,Not provided,Long-Term Care Home,For-Profit,87,No,Not provided,Yes,Yes,No,Not provided
2636,Caressant Care Woodstock Nursing Home,81 Fyfe Avenue,Woodstock,N4S 8Y2,127908219,-80.74298167,43.12333833,(519) 539-6461,(519) 539-7467,http://www.caressantcare.com,South West,South West,Ms Carol Bradley,Caressant-care Nursing And Retirement Homes Limited,Not provided,Long-Term Care Home,For-Profit,163,Yes,Not provided,Yes,Yes,No,Not provided
2420,Carlingview Manor,2330 Carling Avenue,Ottawa,K2B 7H1,127908221,-75.77672346,45.36710444,(613) 820-9328,(613) 820-9774,Not provided,Champlain,Champlain,Mr Matt Carroll,Carlingview Manor Operating Inc.,Not provided,Long-Term Care Home,For-Profit,303,No,Not provided,Yes,Yes,No,Not provided
M510,Castleview Wychwood Towers,351 Christie Street,Toronto,M6G 3C3,127908225,-79.4215684,43.67323209,(416) 392-5700,(416) 392-4157,http://toronto.ca/ltc,Toronto Central,Toronto Central,Ms Bahar Karimi,Toronto Long-term Care Homes And Services,Not provided,Long-Term Care Home,MHFA,456,Yes,Not provided,Yes,Yes,No,Not provided
2591,Cedarvale Terrace,429 Walmer Road,Toronto,M5P 2X9,127908228,-79.41242,43.68544999,(416) 967-6949,(416) 928-1965,http://www.cedarvaleterrace.ca,Toronto Central,Toronto Central,Ms Adele Lopes,Cedarvale Terrace Ltc Inc. As General Partner Of Cedarvale Terrace Ltc Limited Partnership,Not provided,Long-Term Care Home,For-Profit,218,Yes,Not provided,Yes,Yes,No,Not provided
M511,Centre d'Accueil Champlain,275 Perrier Street,Ottawa,K1L 5C6,127908232,-75.66040763,45.44307496,(613) 746-3543,(613) 746-5572,http://www.ottawa.ca/residents/housing/long_term_care/index_fr.html,Champlain,Champlain,Ms Jacqueline Roy,City Of Ottawa,Not provided,Long-Term Care Home,MHFA,160,No,Not provided,Yes,Yes,No,Not provided
2658,Chartwell Ballycliffe Long Term Care Residence,70 Station Street,Ajax,L1S 1R9,127908236,-79.02538249,43.85103444,(905) 683-7321,(905) 427-5846,http://www.chartwellreit.ca/home_locations/ballycliffe.htm,Central East,Central East,Ms Duna Mckay,Chartwell Master Care Lp,Not provided,Long-Term Care Home,For-Profit,100,No,Not provided,Yes,Yes,No,Not provided
2939,Chartwell Royal Oak Long Term Care Residence,1750 Division Road North,Kingsville,N9Y 4G7,127908247,-82.7344885,42.10918325,(519) 733-9303,(519) 733-9215,http://www.chartwellreit.ca,Erie St. Clair,Erie St. Clair,Ms Nicole Ross,Chartwell Master Care Lp,Not provided,Long-Term Care Home,For-Profit,160,No,Not provided,Yes,Yes,No,Not provided
2655,Chelsey Park,310 Oxford Street West,London,N6H 4N6,127908258,-81.27670002,42.98759998,(519) 432-1855,(519) 679-7324,http://www.diversicare.ca/longterm/ChelseyLondon.html,South West,South West,Mrs Suzi Holster,"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","Diversicare Canada Management Services Co., Inc.",Long-Term Care Home,For-Profit,247,Yes,Not provided,Yes,Yes,No,Not provided
2124,Cooksville Care Centre,55 The Queensway West,Mississauga,L5B 1B5,127908265,-79.60968265,43.57333426,(905) 270-0170,(905) 270-8465,http://www.cooksvillecarecentre.ca/,Mississauga Halton,Mississauga Halton,Ms Nicole Powell,Rykka Care Centres Lp,Not provided,Long-Term Care Home,For-Profit,192,Yes,Not provided,Yes,Yes,No,Not provided
1115,Copper Terrace,91 Tecumseh Road,Chatham-Kent,N7M 1B3,127908267,-82.20023446,42.39836743,(519) 354-5442,(519) 354-1342,http://www.copperterrace.ca,Erie St. Clair,Erie St. Clair,Ms Shannon Snelgrove,Copper Terrace Limited,Apans Inc.,Long-Term Care Home,For-Profit,138,Yes,Not provided,Yes,Yes,No,Not provided
2503,Craiglee Nursing Home,102 Craiglee Drive,Toronto,M1N 2M7,127908471,-79.25328995,43.7068564,(416) 264-2000,(416) 267-8176,http://www.craiglee.ca,Central East,Central East,Ms April Beckett,Craiglee Nursing Home Limited,Extendicare (Canada) Inc.,Long-Term Care Home,For-Profit,169,No,Not provided,Yes,Yes,No,Not provided
M514,Dearness Home for Senior Citizens,710 Southdale Road East,London,N6E 1R8,127908477,-81.2242,42.94409997,(519) 661-0400,(519) 661-0446,http://www.london.ca,South West,South West,Leslie Hancock,The Corporation Of The City Of London,Not provided,Long-Term Care Home,MHFA,243,Yes,Not provided,Yes,Yes,No,"Datars Bere, Dearness Home Managing Director"
3047,Earls Court Village,"1390 Highbury Avenue, North",London,N5Y 0B6,127908491,-81.21868331,43.02685259,(519) 601-5088,TRUE,http://www.svch.ca,South West,South West,Rob Bissonnette,Sharon Farms & Enterprises Limited,Responsive Health Management Inc.,Long-Term Care Home,For-Profit,128,No,Not provided,Yes,Yes,No,Not provided
2759,êlisabeth-Bruyäre Residence,75 Bruyere Street,Ottawa,K1N 5C8,127908500,-75.69601204,45.43219476,(613) 562-6262,(613) 562-6333,http://www.bruyere.org,Champlain,Champlain,Ms Chantale Cameron,Not provided,Not provided,Long-Term Care Home,Non-Profit,71,No,Not provided,Yes,Yes,No,Not provided
2590,Extendicare Falconbridge,281 Falconbridge Road,Greater Sudbury,P3A 5K4,127908513,-80.93752947,46.50712479,(705) 566-7980,(705) 566-2997,http://www.extendicare.com,North East,North East,Ms. Laura Halloran,Extendicare (Canada) Inc.,Not provided,Long-Term Care Home,For-Profit,234,Yes,Not provided,Yes,Yes,No,Not provided
2665,Extendicare Laurier Manor,1715 Montreal Road,Ottawa,K1J 6N4,127908523,-75.61083871,45.44639766,(613) 741-5122,(613) 741-8432,http://www.extendicare.com/facilities/lauriermanor/accountability.htm,Champlain,Champlain,Mr Chris Smith,Not provided,Not provided,Long-Term Care Home,For-Profit,242,No,Not provided,Yes,Yes,No,Not provided
2842,Extendicare Southwood Lakes,1255 North Talbot Road,Windsor,N9G 3A4,127908535,-82.97743228,42.24129286,(519) 945-7249,(519) 945-7816,http://www.extendicare.com,Erie St. Clair,Erie St. Clair,Ms Sue Ethier,Extendicare (Canada) Inc.,Not provided,Long-Term Care Home,For-Profit,150,No,Not provided,Yes,Yes,No,Not provided
2904,Extendicare Tecumseh,2475 St. Alphonse Street,Tecumseh,N8N 2X2,127908538,-82.88282716,42.28213297,(519) 739-2998,(519) 739-2815,http://www.extendicare.com/facilities/tecumseh/accountability.htm,Erie St. Clair,Erie St. Clair,Mr. Tom Wilson,Extendicare (Canada) Inc.,Not provided,Long-Term Care Home,For-Profit,128,No,Not provided,Yes,Yes,No,Not provided
2709,Extendicare West End Villa,2179 Elmira Drive,Ottawa,K2C 3S1,127908542,-75.77592106,45.35437454,(613) 829-3501,(613) 829-3504,http://www.extendicare.com/facilities/westendvilla/accountability.htm,Champlain,Champlain,Ms Kelly Keeler,Not provided,Not provided,Long-Term Care Home,For-Profit,242,No,Not provided,Yes,Yes,No,Not provided
2936,F. J. Davey Home,733 Third Line East,Sault Ste. Marie,P6A 7C1,127908544,-84.31172156,46.55148971,(705) 942-2204,(705) 256-4207,http://www.fjdaveyhome.org,North East,North East,Connie Lee,F. J. Davey Home,Not provided,Long-Term Care Home,Non-Profit,374,No,Not provided,Yes,Yes,No,Not provided
2707,Forest Heights,60 Westheights Drive,Kitchener,N2N 2A8,127909010,-80.52997603,43.42863489,(519) 576-3320,(519) 745-3227,http://www.reveraliving.com/long-term-care/locations/forest-heights,Waterloo Wellington,Waterloo Wellington,Mr Scott Mumberson,Revera Long Term Care Inc.,Not provided,Long-Term Care Home,For-Profit,240,Yes,Not provided,Yes,Yes,No,Not provided
2570,Fox Ridge Care Community,389 West Street,Brantford,N3R 3V9,127909014,-80.25557922,43.15691656,(519) 759-4666,(519) 759-0200,http://www.siennaliving.ca,Hamilton Niagara Haldimand Brant (Hnhb),Hamilton Niagara Haldimand Brant (HNHB),Ms Tammy Smith,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,Not provided,Long-Term Care Home,For-Profit,122,No,Not provided,Yes,Yes,No,Not provided
2746,Foyer St-Viateur Nursing Home,1003 Limoges Road South,Limoges,K0A 2M0,127909017,-75.22845887,45.29368405,(613) 443-5751,(613) 443-5950,http://www.genesisgardens.ca,Champlain,Champlain,Mr Benoit Marleau,Genesis Gardens Inc.,Not provided,Long-Term Care Home,For-Profit,57,No,Not provided,Yes,Yes,No,Not provided
M622,Garry J. Armstrong Home,200 Island Lodge Road,Ottawa,K1N 5M2,127909026,-75.68321103,45.43784556,(613) 789-5100,(613) 789-3704,http://ottawa.ca,Champlain,Champlain,Ms Mary Zion,City Of Ottawa,Not provided,Long-Term Care Home,MHFA,180,No,Not provided,Yes,Yes,No,Not provided
M538,Hastings Manor Home for the Aged,476 Dundas Street West P.O. Box 458,Belleville,K8N 5B2,127909058,-77.41249399,44.14750396,(613) 968-6467,(613) 771-2409,http://www.hastingscounty.com,South East,South East,Ms Debbie Rollins,The Corporation Of The County Of Hastings,Not provided,Long-Term Care Home,MHFA,253,Yes,Not provided,Yes,Yes,No,Not provided
2586,Hawthorne Place Care Centre,2045 Finch Avenue West,Toronto,M3N 1M9,127909060,-79.52146504,43.7562266,(416) 745-0811,(416) 745-0568,http://www.hawthorneplacecarecentre.ca/,Central,Central,Ms Charlotte Altenburg,Rykka Care Centres Lp,Not provided,Long-Term Care Home,For-Profit,269,Yes,Not provided,Yes,Yes,No,Not provided
2776,Heritage Green Nursing Home,353 Isaac Brock Drive,Hamilton,L8J 2J3,127909067,-79.78959387,43.19351329,(905) 573-7177,(905) 573-7151,http://www.hgseniorcare.ca,Hamilton Niagara Haldimand Brant (Hnhb),Hamilton Niagara Haldimand Brant (HNHB),Mr. Scott Kozachenko,Heritage Green Nursing Home,Not provided,Long-Term Care Home,Non-Profit,167,No,Not provided,Yes,Yes,No,Not provided
2923,Hogarth Riverview Manor,300 Lillie Street,Thunder Bay,P7C 4Y7,127909076,-89.27024407,48.38711436,(807) 625-1110,(807) 623-4520,http://www.sjcg.net,North West,North West,Ms Sheila Clark,St. Joseph's Care Group,Extendicare (Canada) Inc.,Long-Term Care Home,Non-Profit,543,No,Not provided,Yes,Yes,No,Not provided
2129,Iler Lodge,111 Iler Avenue,Essex,N8M 1T6,127909085,-82.82363683,42.17029266,(519) 776-9482,(519) 776-4292,http://www.reveraliving.com/long-term-care/locations/iler-lodge,Erie St. Clair,Erie St. Clair,Krystal Labonte,Axr Operating (National) Lp,Not provided,Long-Term Care Home,For-Profit,104,No,Not provided,Yes,Yes,No,Not provided
2729,Kensington Village,1340 Huron Street,London,N5V 3R3,127909094,-81.21450001,43.02139999,(519) 455-3910,(519) 455-1570,http://www.svch.ca,South West,South West,Ms Tracie Klisht,Sharon Farms & Enterprises Limited,Not provided,Long-Term Care Home,For-Profit,126,Yes,Not provided,Yes,Yes,No,Not provided
2917,Lanark Heights Long Term Care Centre,46 Lanark Crescent,Kitchener,N2N 2Z8,127909813,-80.53544433,43.42435469,(519) 743-4200,(519) 743-4225,http://www.srgroup.ca,Waterloo Wellington,Waterloo Wellington,Ms Hildy Nickel,Steeves & Rozema Enterprises Limited,Not provided,Long-Term Care Home,For-Profit,160,No,Not provided,Yes,Yes,No,Not provided
2974,Madonna Care Community,1541 St. Joseph Boulevard,Ottawa,K1C 7L3,127909826,-75.5600975,45.46040757,(613) 824-2040,(613) 824-5151,http://www.leisureworld.ca/,Champlain,Champlain,Ms Catherine Wilson,The Royale Development Lp,Not provided,Long-Term Care Home,For-Profit,160,No,Not provided,Yes,Yes,No,Not provided
2867,Manoir Marochel,949 Montreal Road,Ottawa,K1K 0S6,127909832,-75.62820812,45.44784576,(613) 744-1861,(613) 744-4062,Not provided,Champlain,Champlain,Mr. Paul Beverley,"Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",Not provided,Long-Term Care Home,For-Profit,64,No,Not provided,Yes,No,No,Not provided
2643,Meadow Park (London),1210 Southdale Road East,London,N6E 1B4,127909850,-81.202048,42.94667007,(519) 686-0484,(519) 686-9932,http://www.jarlette.com/long-term-care/meadow-park-london,South West,South West,Ms Michelle Priester (Acting),Meadow Park (London) Inc.,Not provided,Long-Term Care Home,For-Profit,126,Yes,Not provided,Yes,Yes,No,Not provided
2789,Midland Gardens Care Community,130 Midland Avenue,Toronto,M1N 4E6,127909855,-79.24749305,43.70835,(416) 264-2301,(416) 264-3704,http://www.leisureworld.ca/,Central East,Central East,Kris Coventry,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,Not provided,Long-Term Care Home,For-Profit,299,Yes,Not provided,Yes,Yes,No,Not provided
2886,Montfort,705 Montreal Road,Ottawa,K1K 0M9,127909865,-75.64059332,45.44672026,(613) 746-8602,(613) 746-4238,http://www.reveraliving.com/long-term-care/locations/montfort,Champlain,Champlain,Ms Kelly Boisclair,Revera Long Term Care Inc.,Not provided,Long-Term Care Home,For-Profit,128,No,Not provided,Yes,Yes,Yes,Not provided
C596,Mount Hope Centre for Long Term Care,21 Grosvenor Street P.O. Box 5777,London,N6A 1Y6,127909867,-81.25619112,42.99874648,(519) 646-6000,(519) 646-6148,Not provided,South West,South West,Mr.Andrew Adamyk,"St. Joseph's Health Care, London",Not provided,Long-Term Care Home,CHFA,177,Yes,Not provided,Yes,Yes,No,Not provided
2693,Orchard Villa,1955 Valley Farm Road,Pickering,L1V 3R6,127910581,-79.0826852,43.84623003,(905) 831-2522,(905) 420-6030,http://www.orchardvilla.ca,Central East,Central East,Mr Jason Gay,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",Not provided,Long-Term Care Home,For-Profit,233,No,Not provided,Yes,Yes,No,Not provided
2980,peopleCare Oakcrossing London,1242 Oakcrossing Road,London,N6H 0G2,127910592,-81.31295743,42.99025618,(519) 641-0023,(519) 641-0028,Not provided,South West,South West,Ms Lynda Monik,Peoplecare Communities Inc.,Not provided,Long-Term Care Home,For-Profit,160,No,Not provided,Yes,Yes,No,Not provided
M609,Peter D. Clark Centre,9 Meridian Place,Ottawa,K2G 6P8,127910595,-75.76124965,45.34292964,(613) 274-2671,(613) 560-1324,http://www.city.ottawa.on.ca,Champlain,Champlain,Ms Shelley Kuiack,City Of Ottawa,Not provided,Long-Term Care Home,MHFA,216,No,Not provided,Yes,Yes,No,Not provided
M566,Pioneer Manor,960 Notre Dame Avenue,Greater Sudbury,P3A 2T4,127910603,-80.98200218,46.51755539,(705) 566-4270,(705) 524-1767,https://www.greatersudbury.ca/living/pioneer-manor/,North East,North East,Aaron Archibald,The City Of Greater Sudbury,Not provided,Long-Term Care Home,MHFA,433,No,Not provided,Yes,Yes,No,Not provided
3005,Providence Manor,275 Sydenham Street,Kingston,K7K 1G7,127910611,-76.4854609,44.23552932,(613) 548-7222,(613) 549-1018,http://www.providencecare.ca,South East,South East,Kyle Cotton,Providence Care Centre,Not provided,Long-Term Care Home,CHFA,243,Yes,Not provided,Yes,Yes,Yes,Not provided
3033,Rainycrest,550 Osborne Street,Fort Frances,P9A 3T2,127910616,-93.38952886,48.61757008,(807) 274-3261,(807) 274-7368,https://riversidehealthcare.ca/rainycrest-long-term-care/about-us,North West,North West,Ms Tara Morelli,Riverside Health Care Facilities Inc.,Not provided,Long-Term Care Home,CHFA,164,Yes,Not provided,Yes,Yes,No,Not provided
3013,Residence Saint-Louis,879 Chemin Parc Hiawatha,Ottawa,K1C 2Z6,127910622,-75.54546839,45.48316037,(613) 562-6262,(613) 683-5002,http://www.bruyere.org,Champlain,Champlain,Ms Melisssa Donskov,Bruyere Continuing Care Inc.,Not provided,Long-Term Care Home,CHFA,198,Yes,Not provided,Yes,Yes,Yes,Not provided
M569,Rideaucrest Home,175 Rideau Street,Kingston,K7K 3H6,127910624,-76.482326,44.23806852,(613) 530-2818,(613) 530-2823,https://www.cityofkingston.ca/residents/community-services/rideaucrest,South East,South East,Casie Keyes,The Corporation Of The City Of Kingston,Not provided,Long-Term Care Home,MHFA,170,No,Not provided,Yes,Yes,No,Not provided
3007,Ritz Lutheran Villa,"Part Lot 16, Con 2, Logan Twn R.R. #5",Mitchell,N0K 1N0,127910626,-81.19016844,43.47728007,(519) 348-8612,(519) 348-4420,http://www.ritzlutheranvilla.com,South West,South West,Mr Jeff Renaud,Ritz Lutheran Villa,Not provided,Long-Term Care Home,CHFA,85,No,Not provided,Yes,No,No,Not provided
M626,Riverview Gardens,519 King Street West,Chatham-Kent,N7M 1G8,127910630,-82.19473846,42.39920733,(519) 352-4823,(519) 352-2891,http://chatham-kent.ca,Erie St. Clair,Erie St. Clair,Ms Mary Alice Searles,The Corporation Of The Municipality Of Chatham-kent,Not provided,Long-Term Care Home,MHFA,320,Yes,Not provided,Yes,No,No,Not provided
1159,Southbridge Lakehead,135 South Vickers Street,Thunder Bay,P7E 1J2,127911337,-89.25160066,48.38273846,(807) 623-9511,(807) 623-6992,http://www.reveraliving.com/long-term-care/locations/lakehead-manor,North West,North West,Ms. Juliana Jason,"Cvh (No. 9) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",Extendicare (Canada) Inc.,Long-Term Care Home,For-Profit,131,No,Not provided,Yes,Yes,No,Not provided
3039,St. Gabriel's Villa of Sudbury,4690 Municipal Road 15,Greater Sudbury,P0M 1L0,127911348,-81.19796446,46.57756918,(705) 590-2580,(519) 590-3090,http://www.sjsudbury.com/,North East,North East,Mr Ray Ingriselli,St. Joseph's Health Centre Of Sudbury,Not provided,Long-Term Care Home,Non-Profit,128,No,Not provided,Yes,Yes,Yes,Not provided
2935,St. Joseph's at Fleming,659 Brealey Drive,Peterborough,K9K 2R8,127911351,-78.36982331,44.26876694,(705) 743-4744,(705) 743-7532,http://www.stjosephsatfleming.com,Central East,Central East,Ms Carolyn Rodd,St Joseph's At Fleming,Not provided,Long-Term Care Home,Non-Profit,200,No,Not provided,Yes,Yes,No,Not provided
2975,St. Joseph's Villa,56 Governor's Road,Hamilton,L9H 5G7,127911356,-79.95769763,43.26175039,(905) 627-9011,(905) 628-0825,http://www.sjv.on.ca,Hamilton Niagara Haldimand Brant (Hnhb),Hamilton Niagara Haldimand Brant (HNHB),Ms Mieke Ewen,St. Joseph's Health System,Not provided,Long-Term Care Home,Non-Profit,378,Yes,Not provided,Yes,Yes,No,Not provided
3015,St. Patrick's Home,2865 Riverside Drive,Ottawa,K1V 8N5,127911359,-75.68902863,45.36946255,(613) 731-4660,(613) 731-4056,http://www.stpats.ca,Champlain,Champlain,Ms Janet Morris,St. Patrick's Home Of Ottawa Inc.,Not provided,Long-Term Care Home,CHFA,202,Yes,Not provided,Yes,Yes,No,Not provided
M578,Sunnyside Home,247 Franklin Street North,Kitchener,N2A 1Y5,127911373,-80.4451817,43.4409855,(519) 893-8482,(519) 893-4450,http://www.regionofwaterloo.ca,Waterloo Wellington,Waterloo Wellington,Ms Julie Wheeler,Regional Municipality Of Waterloo,Not provided,Long-Term Care Home,MHFA,263,Yes,Not provided,Yes,Yes,No,Not provided
3025,The Perley and Rideau Veterans' Health Centre,1750 Russell Road,Ottawa,K1G 5Z6,127911397,-75.63559882,45.40439745,(613) 526-7170,(613) 526-7172,http://www.prvhc.com,Champlain,Champlain,Mr Akos Hoffer,The Perley And Rideau Veterans' Health Centre,Not provided,Long-Term Care Home,CHFA,450,Yes,Not provided,Yes,Yes,No,Not provided
3037,The Village of Aspen Lake,9855 McHugh Street,Tecumseh,N8P 0A6,127911404,-82.92002727,42.31812748,(519) 946-2055,(519) 946-2056,http://schlegelvillages.com/,Erie St. Clair,Erie St. Clair,Ms Dana Houle,R-b-j Schlegel Holdings Inc.,Not provided,Long-Term Care Home,For-Profit,192,No,Not provided,Yes,Yes,No,Not provided
2915,The Village of Riverside Glen,60 Woodlawn Road East,Guelph,N1H 8M8,127911408,-80.27358046,43.56914953,(519) 822-5272,(519) 822-5520,http://schlegelvillages.com/guelph1,Waterloo Wellington,Waterloo Wellington,Mr Bryce Mcbain,Schlegel Villages Inc.,Not provided,Long-Term Care Home,For-Profit,192,No,Not provided,Yes,Yes,No,Not provided
2790,Trillium Retirement and Care Community,800 Edgar Street,Kingston,K7M 8S4,127909294,-76.55202272,44.25039402,(613) 547-7001,(613) 547-3734,https://www.siennaliving.ca/long-term-care/locations/trillium-retirement.aspx,South East,South East,Ms Ashley Miller,Specialty Care East Inc.,Not provided,Long-Term Care Home,For-Profit,190,Yes,Not provided,Yes,Yes,No,Not provided
2878,Westmount Gardens Long Term Care Home,590 Longworth Road,London,N6K 4X9,127909339,-81.30566583,42.95041767,(519) 472-6424,(519) 472-8852,http://www.srgroup.ca,South West,South West,Ms Mary Alice Barr,Steeves & Rozema Enterprises Limited,Not provided,Long-Term Care Home,For-Profit,160,No,Not provided,Yes,Yes,No,Not provided
2756,Atikokan General Hospital,120 Dorothy Street,Atikokan,P0T 1C0,127907955,-91.59845034,48.75358434,(807) 597-4215,(807) 597-4305,http://aghospital.on.ca/,North West,North West,Mr Doug Moynihan,Atikokan General Hospital,Not provided,Long-Term Care Home,Non-Profit,26,No,No,Yes,Yes,No,Not provided
2888,Chartwell Woodhaven Long Term Care Residence,380 Church Street,Markham,L6B 1E1,127908255,-79.23093016,43.88585793,(905) 472-3320,(905) 472-1347,http://chartwell.com/index,Central,Central,Ms Belisha Ke,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,Not provided,Long-Term Care Home,For-Profit,192,Yes,No,Yes,Yes,No,Not provided
2771,Hornepayne Community Hospital,278 Front Street P.O. Box 190,Hornepayne,P0M 1Z0,127909078,-84.77474916,49.21210057,(807) 868-2442,(807) 868-2697,http://hornepayne.com,North East,North East,Ms Heather Jaremy-Berube,Hornepayne Community Hospital,Not provided,Long-Term Care Home,Non-Profit,12,No,No,No,Yes,Yes,Not provided
